no.;ctmax;dev.temp;ad.temp;dev.treat;ad.treat;observer
1;40.09;19;23;const;const;paul
2;39.96;19;23;const;const;paul
3;40.06;19;23;const;const;paul
4;40.05;19;23;const;const;paul
5;39.98;19;23;const;const;paul
6;40.05;19;23;const;const;paul
7;40.06;19;23;const;const;paul
8;40.04;19;23;const;const;paul
9;40.06;19;23;const;const;paul
10;39.8;19;23;const;const;paul
11;38.94;19;19;const;const;paul
12;40.1;19;19;const;const;paul
13;39.93;19;19;const;const;paul
14;40;19;19;const;const;paul
15;39.66;19;19;const;const;paul
16;39.88;19;19;const;const;paul
17;40.06;19;19;const;const;paul
18;39.63;19;19;const;const;paul
19;39.75;19;19;const;const;paul
20;39.93;19;19;const;const;paul
21;39.92;19;23;fluct;fluct;paul
22;39.98;19;23;fluct;fluct;paul
23;40.1;19;23;fluct;fluct;paul
24;40.09;19;23;fluct;fluct;paul
25;40.04;19;23;fluct;fluct;paul
26;39.72;19;23;fluct;fluct;paul
27;39.96;19;23;fluct;fluct;paul
28;39.68;19;23;fluct;fluct;paul
29;40.06;19;23;fluct;fluct;paul
30;39.83;19;23;fluct;fluct;paul
31;39.77;19;19;fluct;fluct;paul
32;40.09;19;19;fluct;fluct;paul
33;40.06;19;19;fluct;fluct;paul
34;39.93;19;19;fluct;fluct;paul
35;38.16;19;19;fluct;fluct;paul
36;40;19;19;fluct;fluct;paul
37;39.86;19;19;fluct;fluct;paul
38;40.09;19;19;fluct;fluct;paul
39;40.1;19;19;fluct;fluct;paul
40;39.94;19;19;fluct;fluct;paul
